EmployeeID,Wage,HiredOn,Branch#,Current status,Position,Role,AvgWorkingHours/Week,ApplicantID,emp_id,app_id,branch,status,role,wage,position,hours,is_exited,is_fired,tenure_days,tenure_months,role_level,wage_num,hours_bracket,avg_score,max_score,num_reviews,score_trend,perf_tier,first_promo_date,was_promoted,ReasonForLeaving,PastRelevantExperience,YearsOfRelevantExperience,HighestEducationLevel,YearOfBirth,age,age_group,days_to_promo,months_to_promo,is_hp,tenure_bracket
5544,Minimum,2025-10-20,1,Working,full-time,Shift Lead,44.8,105535,5544,105535,1,Working,Shift Lead,Minimum,full-time,44.8,0,0,145,4.8,4,1,Full-time (32h+),93.66,93.66,1,0.0,High Performer,,0,,True,3,Bachelor,1995,31,28-34,,,1,0-6 mo
5973,Minimum,2025-11-07,1,Working,part-time,Shift Lead,26.9,109813,5973,109813,1,Working,Shift Lead,Minimum,part-time,26.9,0,0,127,4.2,4,1,Mid (20-32h),76.18,76.18,1,0.0,Low Performer,,0,,False,0,Bachelor,2005,21,Under 23 (Student-age),,,0,0-6 mo
5156,Minimum,2025-11-21,1,Working,full-time,Shift Lead,44.8,101689,5156,101689,1,Working,Shift Lead,Minimum,full-time,44.8,0,0,113,3.7,4,1,Full-time (32h+),85.23,85.23,1,0.0,Medium Performer,,0,,True,3,Bachelor,2000,26,23-27,,,0,0-6 mo
5793,Minimum,2025-12-12,1,Working,part-time,Shift Lead,24.2,107897,5793,107897,1,Working,Shift Lead,Minimum,part-time,24.2,0,0,92,3.0,4,1,Mid (20-32h),82.18,82.18,1,0.0,Medium Performer,,0,,True,3,Associate Degree,2001,25,23-27,,,0,0-6 mo
5527,Competitive,2025-12-16,1,Working,full-time,Shift Lead,45.9,105333,5527,105333,1,Working,Shift Lead,Competitive,full-time,45.9,0,0,88,2.9,4,2,Full-time (32h+),93.86,93.86,1,0.0,High Performer,,0,,True,4,Bachelor,1996,30,28-34,,,1,0-6 mo
5203,Minimum,2021-08-09,1,Left,part-time,Shift Lead,24.3,102154,5203,102154,1,Left,Shift Lead,Minimum,part-time,24.3,1,0,1678,55.1,4,1,Mid (20-32h),94.63833333333334,99.7,12,-9.7,High Performer,2022-07-22,1,Lack of Growth,True,2,Bachelor,2001,25,23-27,347.0,11.4,1,24+ mo
5967,Minimum,2022-11-09,1,Left,full-time,Shift Lead,44.6,109732,5967,109732,1,Left,Shift Lead,Minimum,full-time,44.6,1,0,1221,40.1,4,1,Full-time (32h+),81.783,86.72,10,-12.78,Medium Performer,2023-12-04,1,Poor Management,True,2,Associate Degree,2000,26,23-27,390.0,12.8,0,24+ mo
5991,Minimum,2021-07-28,1,Left,part-time,Shift Lead,28.2,109941,5991,109941,1,Left,Shift Lead,Minimum,part-time,28.2,1,0,1690,55.5,4,1,Mid (20-32h),88.2375,91.51,8,0.13,High Performer,2022-10-08,1,Poor Management,True,3,Bachelor,1992,34,28-34,437.0,14.4,1,24+ mo
5280,Minimum,2021-12-27,1,Left,full-time,Bartender,39.3,102985,5280,102985,1,Left,Bartender,Minimum,full-time,39.3,1,0,1538,50.5,4,1,Full-time (32h+),86.71714285714286,89.76,7,-7.83,High Performer,2022-08-09,1,Better Offer,True,4,Associate Degree,2005,21,Under 23 (Student-age),225.0,7.4,1,24+ mo
5607,Competitive,2023-08-30,1,Left,full-time,Bartender,36.5,106132,5607,106132,1,Left,Bartender,Competitive,full-time,36.5,1,0,927,30.5,4,2,Full-time (32h+),90.0442857142857,95.18,7,-1.42,High Performer,2024-07-28,1,Better Offer,True,4,High School,2003,23,23-27,333.0,10.9,1,24+ mo
5071,Competitive,2022-02-16,1,Left,part-time,Bartender,20.7,100871,5071,100871,1,Left,Bartender,Competitive,part-time,20.7,1,0,1487,48.9,4,2,Mid (20-32h),93.36000000000001,98.65,6,-4.97,High Performer,2022-08-08,1,Better Offer,True,3,Bachelor,2006,20,Under 23 (Student-age),173.0,5.7,1,24+ mo
5541,Competitive,2023-08-20,1,Left,full-time,Bartender,41.9,105511,5541,105511,1,Left,Bartender,Competitive,full-time,41.9,1,0,937,30.8,4,2,Full-time (32h+),81.765,86.96,6,-2.59,Medium Performer,2023-10-16,1,Insufficient Wages,True,2,High School,2007,19,Under 23 (Student-age),57.0,1.9,0,24+ mo
5150,Minimum,2021-07-15,1,Left,full-time,Bartender,43.8,101619,5150,101619,1,Left,Bartender,Minimum,full-time,43.8,1,0,1703,55.9,4,1,Full-time (32h+),88.15833333333335,90.16,6,-2.4,High Performer,2022-02-13,1,Insufficient Wages,True,3,Bachelor,1995,31,28-34,213.0,7.0,1,24+ mo
5598,Premium,2022-10-30,1,Fired,part-time,Bartender,20.6,105986,5598,105986,1,Fired,Bartender,Premium,part-time,20.6,1,1,1231,40.4,4,3,Mid (20-32h),93.012,98.9,5,-9.55,High Performer,2023-03-28,1,Performance,True,3,Bachelor,1990,36,35+,149.0,4.9,1,24+ mo
5109,Premium,2023-10-17,1,Left,full-time,Bartender,39.2,101210,5109,101210,1,Left,Bartender,Premium,full-time,39.2,1,0,879,28.9,4,3,Full-time (32h+),75.96000000000001,80.8,5,-7.16,Low Performer,,0,Lack of Growth,True,6,High School,2001,25,23-27,,,0,24+ mo
5401,Minimum,2021-07-14,1,Left,full-time,Bartender,42.8,104268,5401,104268,1,Left,Bartender,Minimum,full-time,42.8,1,0,1704,56.0,4,1,Full-time (32h+),75.452,80.57,5,-7.24,Low Performer,2021-09-16,1,Relocation,False,0,Bachelor,1998,28,28-34,64.0,2.1,0,24+ mo
5420,Minimum,2021-04-05,1,Left,part-time,Bartender,22.7,104425,5420,104425,1,Left,Bartender,Minimum,part-time,22.7,1,0,1804,59.3,4,1,Mid (20-32h),83.94200000000001,90.28,5,-5.44,Medium Performer,2021-07-18,1,Better Offer,True,8,Bachelor,1993,33,28-34,104.0,3.4,0,24+ mo
5159,Competitive,2021-06-18,1,Left,full-time,Bartender,41.4,101729,5159,101729,1,Left,Bartender,Competitive,full-time,41.4,1,0,1730,56.8,4,2,Full-time (32h+),76.1125,77.92,4,-4.19,Low Performer,2022-01-06,1,Better Offer,False,0,High School,1998,28,28-34,202.0,6.6,0,24+ mo
5354,Competitive,2022-04-27,1,Left,full-time,Bartender,38.3,103764,5354,103764,1,Left,Bartender,Competitive,full-time,38.3,1,0,1417,46.6,4,2,Full-time (32h+),78.32,84.41,4,-11.09,Low Performer,2022-11-05,1,Insufficient Wages,True,4,Associate Degree,1999,27,23-27,192.0,6.3,0,24+ mo
5091,Minimum,2021-01-23,1,Left,part-time,Bartender,21.1,101058,5091,101058,1,Left,Bartender,Minimum,part-time,21.1,1,0,1876,61.6,4,1,Mid (20-32h),83.475,87.11,4,-4.3,Medium Performer,,0,Lack of Growth,True,2,Associate Degree,1999,27,23-27,,,0,24+ mo
5979,Minimum,2024-07-01,1,Left,full-time,Bartender,40.6,109876,5979,109876,1,Left,Bartender,Minimum,full-time,40.6,1,0,621,20.4,4,1,Full-time (32h+),67.47,74.85,4,-16.19,Low Performer,2024-07-21,1,Insufficient Wages,True,6,Associate Degree,2001,25,23-27,20.0,0.7,0,18-24 mo
5912,Minimum,2021-09-27,1,Left,full-time,Bartender,40.6,109234,5912,109234,1,Left,Bartender,Minimum,full-time,40.6,1,0,1629,53.5,4,1,Full-time (32h+),91.9425,95.57,4,-8.21,High Performer,,0,Lack of Growth,True,3,Bachelor,2000,26,23-27,,,1,24+ mo
5622,Competitive,2022-08-07,1,Left,part-time,Bartender,22.0,106270,5622,106270,1,Left,Bartender,Competitive,part-time,22.0,1,0,1315,43.2,4,2,Mid (20-32h),78.83250000000001,79.54,4,0.96,Low Performer,,0,Poor Management,True,2,Associate Degree,2004,22,Under 23 (Student-age),,,0,24+ mo
5407,Competitive,2023-02-12,1,Left,full-time,Bartender,40.1,104325,5407,104325,1,Left,Bartender,Competitive,full-time,40.1,1,0,1126,37.0,4,2,Full-time (32h+),79.2175,84.58,4,-14.57,Low Performer,,0,Poor Management,True,2,High School,2007,19,Under 23 (Student-age),,,0,24+ mo
5732,Competitive,2023-11-11,1,Left,full-time,Bartender,41.2,107330,5732,107330,1,Left,Bartender,Competitive,full-time,41.2,1,0,854,28.1,4,2,Full-time (32h+),87.625,90.51,4,-2.84,High Performer,2024-01-12,1,Burntout,True,2,Bachelor,1989,37,35+,62.0,2.0,1,24+ mo
5019,Premium,2022-03-20,1,Left,part-time,Bartender,21.0,100170,5019,100170,1,Left,Bartender,Premium,part-time,21.0,1,0,1455,47.8,4,3,Mid (20-32h),68.56666666666666,74.94,3,-4.34,Low Performer,,0,Poor Management,True,6,High School,1997,29,28-34,,,0,24+ mo
5942,Minimum,2024-10-24,1,Left,full-time,Bartender,39.5,109489,5942,109489,1,Left,Bartender,Minimum,full-time,39.5,1,0,506,16.6,4,1,Full-time (32h+),77.81666666666668,81.26,3,-7.83,Low Performer,,0,Insufficient Wages,True,6,Bachelor,2001,25,23-27,,,0,12-18 mo
5151,Competitive,2022-02-11,1,Left,full-time,Bartender,39.7,101630,5151,101630,1,Left,Bartender,Competitive,full-time,39.7,1,0,1492,49.0,4,2,Full-time (32h+),95.60000000000001,98.2,3,-0.22,High Performer,2022-05-21,1,Lack of Growth,True,3,Bachelor,2003,23,23-27,99.0,3.3,1,24+ mo
5128,Competitive,2024-03-25,1,Left,part-time,Bartender,20.5,101402,5128,101402,1,Left,Bartender,Competitive,part-time,20.5,1,0,719,23.6,4,2,Mid (20-32h),79.17333333333333,80.81,3,-2.29,Low Performer,,0,Insufficient Wages,True,3,High School,2001,25,23-27,,,0,18-24 mo
5072,Minimum,2022-06-30,1,Fired,full-time,Server,38.8,100875,5072,100875,1,Fired,Server,Minimum,full-time,38.8,1,1,1353,44.4,3,1,Full-time (32h+),69.94,75.41,3,-14.57,Low Performer,2022-07-30,1,Policy Violation,True,1,Associate Degree,2004,22,Under 23 (Student-age),30.0,1.0,0,24+ mo
5136,Competitive,2022-03-25,1,Left,full-time,Server,39.5,101489,5136,101489,1,Left,Server,Competitive,full-time,39.5,1,0,1450,47.6,3,2,Full-time (32h+),88.67333333333333,94.31,3,-7.93,High Performer,,0,Better Offer,True,2,Associate Degree,1998,28,28-34,,,1,24+ mo
5683,Competitive,2023-01-12,1,Left,full-time,Server,37.6,106897,5683,106897,1,Left,Server,Competitive,full-time,37.6,1,0,1157,38.0,3,2,Full-time (32h+),72.78333333333335,76.81,3,-10.77,Low Performer,,0,Better Offer,True,1,High School,2005,21,Under 23 (Student-age),,,0,24+ mo
5818,Minimum,2024-11-21,1,Left,full-time,Server,40.6,108132,5818,108132,1,Left,Server,Minimum,full-time,40.6,1,0,478,15.7,3,1,Full-time (32h+),74.83333333333333,77.12,3,-5.0,Low Performer,2025-01-27,1,Burntout,True,1,Master,2002,24,23-27,67.0,2.2,0,12-18 mo
5227,Minimum,2024-01-02,1,Left,part-time,Server,22.1,102387,5227,102387,1,Left,Server,Minimum,part-time,22.1,1,0,802,26.3,3,1,Mid (20-32h),87.76666666666667,90.95,3,-6.79,High Performer,,0,Better Offer,True,2,High School,2005,21,Under 23 (Student-age),,,1,24+ mo
5513,Competitive,2023-04-06,1,Left,part-time,Server,19.5,105229,5513,105229,1,Left,Server,Competitive,part-time,19.5,1,0,1073,35.2,3,2,Part-time (<20h),87.88,92.43,3,-8.4,High Performer,,0,Poor Management,True,3,Bachelor,1999,27,23-27,,,1,24+ mo
5821,Premium,2022-06-08,1,Left,part-time,Server,17.6,108148,5821,108148,1,Left,Server,Premium,part-time,17.6,1,0,1375,45.2,3,3,Part-time (<20h),85.9,89.77,2,-7.74,High Performer,,0,Lack of Growth,True,4,Associate Degree,1999,27,23-27,,,1,24+ mo
5217,Premium,2025-04-05,1,Left,full-time,Server,38.8,102300,5217,102300,1,Left,Server,Premium,full-time,38.8,1,0,343,11.3,3,3,Full-time (32h+),83.495,88.81,2,-10.63,Medium Performer,,0,Better Offer,True,3,High School,1992,34,28-34,,,0,6-12 mo
5841,Competitive,2024-03-06,1,Left,full-time,Server,35.4,108385,5841,108385,1,Left,Server,Competitive,full-time,35.4,1,0,738,24.2,3,2,Full-time (32h+),83.78999999999999,88.61,2,-9.64,Medium Performer,2024-03-20,1,Burntout,True,2,Master,1999,27,23-27,14.0,0.5,0,24+ mo
5902,Competitive,2023-01-14,1,Left,full-time,Server,36.2,109109,5902,109109,1,Left,Server,Competitive,full-time,36.2,1,0,1155,37.9,3,2,Full-time (32h+),77.68,82.23,2,-9.1,Low Performer,2023-01-20,1,Poor Management,True,1,Bachelor,2002,24,23-27,6.0,0.2,0,24+ mo
5163,Competitive,2023-02-15,1,Left,full-time,Server,39.7,101757,5163,101757,1,Left,Server,Competitive,full-time,39.7,1,0,1123,36.9,3,2,Full-time (32h+),75.18,80.02,2,-9.68,Low Performer,2023-03-26,1,Poor Management,False,0,Bachelor,1998,28,28-34,39.0,1.3,0,24+ mo
5906,Premium,2023-06-25,1,Left,part-time,Server,18.4,109146,5906,109146,1,Left,Server,Premium,part-time,18.4,1,0,993,32.6,3,3,Part-time (<20h),76.425,79.69,2,-6.53,Low Performer,,0,Insufficient Wages,True,2,High School,2007,19,Under 23 (Student-age),,,0,24+ mo
5034,Minimum,2021-12-02,1,Left,part-time,Server,19.2,100361,5034,100361,1,Left,Server,Minimum,part-time,19.2,1,0,1563,51.3,3,1,Part-time (<20h),72.995,77.87,2,-9.75,Low Performer,,0,Lack of Growth,True,8,Associate Degree,1986,40,35+,,,0,24+ mo
5316,Minimum,2025-03-30,1,Left,part-time,Server,18.6,103469,5316,103469,1,Left,Server,Minimum,part-time,18.6,1,0,349,11.5,3,1,Part-time (<20h),84.32,90.04,2,-11.44,Medium Performer,,0,Better Offer,True,2,Associate Degree,2000,26,23-27,,,0,6-12 mo
5795,Competitive,2021-10-06,1,Left,full-time,Server,37.7,107921,5795,107921,1,Left,Server,Competitive,full-time,37.7,1,0,1620,53.2,3,2,Full-time (32h+),77.08,83.16,2,-12.16,Low Performer,,0,Burntout,True,3,Associate Degree,2005,21,Under 23 (Student-age),,,0,24+ mo
5561,Premium,2025-02-09,1,Left,full-time,Server,38.3,105654,5561,105654,1,Left,Server,Premium,full-time,38.3,1,0,398,13.1,3,3,Full-time (32h+),71.525,73.69,2,-4.33,Low Performer,,0,Insufficient Wages,True,5,Bachelor,2002,24,23-27,,,0,12-18 mo
5511,Competitive,2024-11-25,1,Left,full-time,Server,38.4,105209,5511,105209,1,Left,Server,Competitive,full-time,38.4,1,0,474,15.6,3,2,Full-time (32h+),81.57,84.23,2,-5.32,Medium Performer,,0,Better Offer,False,0,Master,1997,29,28-34,,,0,12-18 mo
5447,Minimum,2025-01-28,1,Left,full-time,Server,40.2,104641,5447,104641,1,Left,Server,Minimum,full-time,40.2,1,0,410,13.5,3,1,Full-time (32h+),97.28999999999999,100.0,2,-5.42,High Performer,,0,Lack of Growth,True,3,Bachelor,2001,25,23-27,,,1,12-18 mo
5162,Competitive,2025-03-11,1,Left,part-time,Server,19.6,101753,5162,101753,1,Left,Server,Competitive,part-time,19.6,1,0,368,12.1,3,2,Part-time (<20h),82.35499999999999,83.83,2,-2.95,Medium Performer,,0,Lack of Growth,True,2,High School,1985,41,35+,,,0,12-18 mo
5688,Competitive,2024-04-25,1,Left,part-time,Server,20.4,106963,5688,106963,1,Left,Server,Competitive,part-time,20.4,1,0,688,22.6,3,2,Mid (20-32h),68.78,70.68,2,-3.8,Low Performer,,0,Poor Management,True,5,Associate Degree,2000,26,23-27,,,0,18-24 mo
5384,Minimum,2024-07-13,1,Left,part-time,Server,20.6,104137,5384,104137,1,Left,Server,Minimum,part-time,20.6,1,0,609,20.0,3,1,Mid (20-32h),65.52,65.6,2,0.16,Low Performer,,0,Poor Management,True,9,Associate Degree,1998,28,28-34,,,0,18-24 mo
5796,Competitive,2021-04-04,1,Left,full-time,Server,36.4,107934,5796,107934,1,Left,Server,Competitive,full-time,36.4,1,0,1805,59.3,3,2,Full-time (32h+),96.275,100.0,2,-7.45,High Performer,,0,Lack of Growth,True,3,Bachelor,1999,27,23-27,,,1,24+ mo
6002,Minimum,2025-01-06,1,Left,full-time,Server,39.6,109976,6002,109976,1,Left,Server,Minimum,full-time,39.6,1,0,432,14.2,3,1,Full-time (32h+),67.225,74.56,2,-14.67,Low Performer,,0,Burntout,True,1,High School,1990,36,35+,,,0,12-18 mo
5029,Competitive,2021-01-02,1,Fired,full-time,Server,37.6,100304,5029,100304,1,Fired,Server,Competitive,full-time,37.6,1,1,1897,62.3,3,2,Full-time (32h+),80.28,85.53,2,-10.5,Medium Performer,,0,Performance,True,7,Bachelor,1989,37,35+,,,0,24+ mo
5063,Minimum,2024-11-20,1,Fired,full-time,Server,38.6,100778,5063,100778,1,Fired,Server,Minimum,full-time,38.6,1,1,479,15.7,3,1,Full-time (32h+),82.615,89.21,2,-13.19,Medium Performer,,0,Policy Violation,True,2,Associate Degree,2000,26,23-27,,,0,12-18 mo
6059,Competitive,2025-04-30,1,Left,part-time,Server,22.5,110455,6059,110455,1,Left,Server,Competitive,part-time,22.5,1,0,318,10.4,3,2,Mid (20-32h),84.59,84.59,1,0.0,Medium Performer,,0,Lack of Growth,True,2,High School,2005,21,Under 23 (Student-age),,,0,6-12 mo
5223,Premium,2022-09-16,1,Left,part-time,Server,18.9,102349,5223,102349,1,Left,Server,Premium,part-time,18.9,1,0,1275,41.9,3,3,Part-time (<20h),70.96,70.96,1,0.0,Low Performer,,0,Better Offer,False,0,Associate Degree,2005,21,Under 23 (Student-age),,,0,24+ mo
5990,Competitive,2022-08-14,1,Left,part-time,Server,20.5,109934,5990,109934,1,Left,Server,Competitive,part-time,20.5,1,0,1308,43.0,3,2,Mid (20-32h),70.06,70.06,1,0.0,Low Performer,,0,Burntout,True,2,Associate Degree,2000,26,23-27,,,0,24+ mo
5820,Premium,2022-09-14,1,Left,full-time,Server,38.5,108138,5820,108138,1,Left,Server,Premium,full-time,38.5,1,0,1277,42.0,3,3,Full-time (32h+),78.67,78.67,1,0.0,Low Performer,,0,Burntout,True,2,Bachelor,1996,30,28-34,,,0,24+ mo
5262,Competitive,2023-10-01,1,Left,full-time,Server,39.2,102798,5262,102798,1,Left,Server,Competitive,full-time,39.2,1,0,895,29.4,3,2,Full-time (32h+),70.6,70.6,1,0.0,Low Performer,,0,Poor Management,True,2,Associate Degree,2006,20,Under 23 (Student-age),,,0,24+ mo
5888,Competitive,2025-01-10,1,Left,full-time,Server,39.6,108923,5888,108923,1,Left,Server,Competitive,full-time,39.6,1,0,428,14.1,3,2,Full-time (32h+),76.47,76.47,1,0.0,Low Performer,,0,Lack of Growth,True,2,High School,2002,24,23-27,,,0,12-18 mo
6025,Minimum,2024-08-14,1,Left,full-time,Server,41.5,110151,6025,110151,1,Left,Server,Minimum,full-time,41.5,1,0,577,19.0,3,1,Full-time (32h+),70.87,70.87,1,0.0,Low Performer,,0,Lack of Growth,True,8,Associate Degree,2001,25,23-27,,,0,18-24 mo
5664,Competitive,2021-03-13,1,Left,part-time,Server,17.2,106723,5664,106723,1,Left,Server,Competitive,part-time,17.2,1,0,1827,60.0,3,2,Part-time (<20h),84.19,84.19,1,0.0,Medium Performer,,0,Lack of Growth,True,2,Associate Degree,1999,27,23-27,,,0,24+ mo
5221,Competitive,2023-03-25,1,Left,part-time,Server,19.8,102328,5221,102328,1,Left,Server,Competitive,part-time,19.8,1,0,1085,35.6,3,2,Part-time (<20h),82.64,82.64,1,0.0,Medium Performer,,0,Poor Management,True,2,Bachelor,2003,23,23-27,,,0,24+ mo
5050,Minimum,2023-04-15,1,Left,part-time,Server,19.7,100625,5050,100625,1,Left,Server,Minimum,part-time,19.7,1,0,1064,35.0,3,1,Part-time (<20h),79.9,79.9,1,0.0,Medium Performer,,0,Burntout,True,3,Bachelor,2001,25,23-27,,,0,24+ mo
5939,Minimum,2022-05-21,1,Left,full-time,Server,35.7,109466,5939,109466,1,Left,Server,Minimum,full-time,35.7,1,0,1393,45.8,3,1,Full-time (32h+),61.24,61.24,1,0.0,Low Performer,,0,Burntout,False,0,Associate Degree,2006,20,Under 23 (Student-age),,,0,24+ mo
5287,Competitive,2022-05-12,1,Left,full-time,Server,37.4,103077,5287,103077,1,Left,Server,Competitive,full-time,37.4,1,0,1402,46.1,3,2,Full-time (32h+),83.95,83.95,1,0.0,Medium Performer,,0,Lack of Growth,True,3,Bachelor,2000,26,23-27,,,0,24+ mo
5812,Premium,2022-07-31,1,Left,full-time,Server,37.5,108090,5812,108090,1,Left,Server,Premium,full-time,37.5,1,0,1322,43.4,3,3,Full-time (32h+),73.19,73.19,1,0.0,Low Performer,,0,Lack of Growth,True,5,High School,2003,23,23-27,,,0,24+ mo
5769,Competitive,2021-02-18,1,Fired,full-time,Server,37.5,107705,5769,107705,1,Fired,Server,Competitive,full-time,37.5,1,1,1850,60.8,3,2,Full-time (32h+),85.86,85.86,1,0.0,High Performer,,0,Performance,True,2,Bachelor,1988,38,35+,,,1,24+ mo
5512,Competitive,2025-01-23,1,Left,part-time,Server,15.9,105227,5512,105227,1,Left,Server,Competitive,part-time,15.9,1,0,415,13.6,3,2,Part-time (<20h),76.97,76.97,1,0.0,Low Performer,,0,Poor Management,True,4,High School,1999,27,23-27,,,0,12-18 mo
5220,Competitive,2024-04-21,1,Left,part-time,Server,20.7,102317,5220,102317,1,Left,Server,Competitive,part-time,20.7,1,0,692,22.7,3,2,Mid (20-32h),81.03,81.03,1,0.0,Medium Performer,,0,Lack of Growth,True,4,Associate Degree,2001,25,23-27,,,0,18-24 mo
6023,Competitive,2021-11-04,1,Left,part-time,Server,20.0,110133,6023,110133,1,Left,Server,Competitive,part-time,20.0,1,0,1591,52.3,3,2,Mid (20-32h),84.37,84.37,1,0.0,Medium Performer,,0,Better Offer,True,1,Bachelor,1992,34,28-34,,,0,24+ mo
5698,Minimum,2022-07-02,1,Left,full-time,Server,37.3,107024,5698,107024,1,Left,Server,Minimum,full-time,37.3,1,0,1351,44.4,3,1,Full-time (32h+),70.71,70.71,1,0.0,Low Performer,,0,Burntout,True,2,Associate Degree,2006,20,Under 23 (Student-age),,,0,24+ mo
5293,Minimum,2023-11-13,1,Left,full-time,Server,36.5,103197,5293,103197,1,Left,Server,Minimum,full-time,36.5,1,0,852,28.0,3,1,Full-time (32h+),77.1,77.1,1,0.0,Low Performer,,0,Better Offer,True,6,Bachelor,1999,27,23-27,,,0,24+ mo
5240,Minimum,2023-11-13,1,Left,full-time,Server,39.3,102538,5240,102538,1,Left,Server,Minimum,full-time,39.3,1,0,852,28.0,3,1,Full-time (32h+),84.06,84.06,1,0.0,Medium Performer,,0,Better Offer,True,2,Bachelor,1998,28,28-34,,,0,24+ mo
5563,Competitive,2024-11-12,1,Fired,full-time,Server,39.3,105674,5563,105674,1,Fired,Server,Competitive,full-time,39.3,1,1,487,16.0,3,2,Full-time (32h+),65.98,65.98,1,0.0,Low Performer,,0,Policy Violation,True,1,Associate Degree,1996,30,28-34,,,0,12-18 mo
5115,Premium,2024-10-29,1,Left,part-time,Server,23.1,101248,5115,101248,1,Left,Server,Premium,part-time,23.1,1,0,501,16.5,3,3,Mid (20-32h),79.26,79.26,1,0.0,Low Performer,,0,Burntout,True,2,High School,2007,19,Under 23 (Student-age),,,0,12-18 mo
